epoch,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,epoch_min_val_loss,correlation_all,correlation_top3
final,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,Model-09,Model-01,,,
epoch_1,Model-10,Model-03,Model-05,Model-07,Model-02,Model-08,Model-09,Model-06,Model-04,Model-01,0.22117600504557292,0.806060606060606,0.4999999999999999
epoch_2,Model-10,Model-03,Model-05,Model-07,Model-02,Model-08,Model-06,Model-09,Model-04,Model-01,0.13916956375539302,0.8303030303030303,0.4999999999999999
epoch_3,Model-10,Model-03,Model-07,Model-05,Model-02,Model-08,Model-06,Model-09,Model-04,Model-01,0.11723680076003075,0.8545454545454545,0.4999999999999999
epoch_4,Model-10,Model-03,Model-05,Model-08,Model-07,Model-02,Model-06,Model-09,Model-04,Model-01,0.1313599665860335,0.8909090909090909,0.4999999999999999
epoch_5,Model-10,Model-03,Model-07,Model-05,Model-08,Model-02,Model-06,Model-09,Model-04,Model-01,0.09695878269026677,0.8909090909090909,0.4999999999999999
epoch_6,Model-10,Model-03,Model-07,Model-05,Model-08,Model-02,Model-06,Model-09,Model-04,Model-01,0.08239875679463148,0.8909090909090909,0.4999999999999999
epoch_7,Model-10,Model-03,Model-07,Model-08,Model-05,Model-02,Model-06,Model-09,Model-04,Model-01,0.08380534477035205,0.9393939393939394,0.4999999999999999
epoch_8,Model-10,Model-03,Model-07,Model-05,Model-08,Model-02,Model-06,Model-09,Model-04,Model-01,0.08100736157844464,0.8909090909090909,0.4999999999999999
epoch_9,Model-10,Model-03,Model-05,Model-07,Model-08,Model-02,Model-06,Model-09,Model-04,Model-01,0.07666338038320343,0.8666666666666667,0.4999999999999999
epoch_10,Model-10,Model-03,Model-07,Model-05,Model-08,Model-02,Model-06,Model-09,Model-04,Model-01,0.06587336341664195,0.8909090909090909,0.4999999999999999
epoch_11,Model-10,Model-03,Model-07,Model-08,Model-05,Model-02,Model-06,Model-09,Model-04,Model-01,0.061923996582627296,0.9393939393939394,0.4999999999999999
epoch_12,Model-10,Model-07,Model-03,Model-05,Model-08,Model-02,Model-06,Model-04,Model-09,Model-01,0.06920172993761177,0.8909090909090909,0.4999999999999999
epoch_13,Model-03,Model-10,Model-08,Model-05,Model-07,Model-02,Model-06,Model-09,Model-04,Model-01,0.07319437670956055,0.9151515151515152,-0.4999999999999999
epoch_14,Model-10,Model-03,Model-08,Model-07,Model-05,Model-02,Model-06,Model-04,Model-09,Model-01,0.0625721369793173,0.9757575757575757,0.4999999999999999
epoch_15,Model-10,Model-03,Model-08,Model-07,Model-02,Model-05,Model-06,Model-09,Model-04,Model-01,0.056663131323177365,0.9757575757575757,0.4999999999999999
epoch_16,Model-10,Model-03,Model-07,Model-08,Model-05,Model-02,Model-06,Model-04,Model-09,Model-01,0.06403511003001283,0.9515151515151515,0.4999999999999999
epoch_17,Model-10,Model-03,Model-08,Model-07,Model-05,Model-02,Model-06,Model-04,Model-09,Model-01,0.0564555420766895,0.9757575757575757,0.4999999999999999
epoch_18,Model-10,Model-03,Model-08,Model-07,Model-05,Model-06,Model-02,Model-04,Model-09,Model-01,0.0589424762216319,0.9515151515151515,0.4999999999999999
epoch_19,Model-10,Model-03,Model-07,Model-05,Model-02,Model-08,Model-06,Model-04,Model-09,Model-01,0.054483035843858184,0.8666666666666667,0.4999999999999999
epoch_20,Model-10,Model-03,Model-07,Model-08,Model-05,Model-02,Model-06,Model-04,Model-09,Model-01,0.0532635645000264,0.9515151515151515,0.4999999999999999
epoch_21,Model-10,Model-08,Model-03,Model-07,Model-05,Model-02,Model-06,Model-04,Model-09,Model-01,0.05514191878447309,0.9878787878787879,0.9999999999999998
epoch_22,Model-10,Model-03,Model-05,Model-07,Model-08,Model-02,Model-06,Model-04,Model-09,Model-01,0.0560307247696328,0.8787878787878788,0.4999999999999999
epoch_23,Model-10,Model-03,Model-08,Model-07,Model-05,Model-02,Model-06,Model-04,Model-09,Model-01,0.062259586244511105,0.9757575757575757,0.4999999999999999
epoch_24,Model-10,Model-03,Model-07,Model-08,Model-05,Model-02,Model-06,Model-04,Model-09,Model-01,0.059009294623120996,0.9515151515151515,0.4999999999999999
epoch_25,Model-10,Model-07,Model-08,Model-03,Model-02,Model-06,Model-05,Model-04,Model-09,Model-01,0.05630331872077659,0.9515151515151515,0.9999999999999998
epoch_26,Model-03,Model-07,Model-10,Model-08,Model-05,Model-06,Model-02,Model-04,Model-09,Model-01,0.06582485802099108,0.8666666666666667,-0.4999999999999999
epoch_27,Model-10,Model-03,Model-08,Model-02,Model-07,Model-05,Model-06,Model-04,Model-09,Model-01,0.06533916009857785,0.9757575757575757,0.4999999999999999
epoch_28,Model-10,Model-08,Model-03,Model-05,Model-07,Model-02,Model-06,Model-04,Model-09,Model-01,0.05873101617430802,0.9636363636363636,0.9999999999999998
epoch_29,Model-10,Model-03,Model-08,Model-07,Model-05,Model-02,Model-06,Model-09,Model-04,Model-01,0.050342482160320896,0.9636363636363636,0.4999999999999999
epoch_30,Model-03,Model-07,Model-08,Model-10,Model-02,Model-05,Model-06,Model-04,Model-09,Model-01,0.06301643180226287,0.8909090909090909,-0.9999999999999998
epoch_31,Model-10,Model-08,Model-07,Model-03,Model-05,Model-02,Model-06,Model-04,Model-09,Model-01,0.06254055318979469,0.9757575757575757,0.9999999999999998
epoch_32,Model-10,Model-08,Model-03,Model-07,Model-05,Model-06,Model-02,Model-04,Model-09,Model-01,0.05744692298775771,0.9636363636363636,0.9999999999999998
epoch_33,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,Model-09,Model-01,0.0711820360449977,1.0,0.9999999999999998
epoch_34,Model-10,Model-08,Model-07,Model-03,Model-02,Model-06,Model-05,Model-04,Model-09,Model-01,0.06445883301886109,0.9757575757575757,0.9999999999999998
epoch_35,Model-08,Model-03,Model-10,Model-07,Model-02,Model-05,Model-04,Model-06,Model-09,Model-01,0.058928559574609005,0.9515151515151515,-0.4999999999999999
epoch_36,Model-10,Model-03,Model-07,Model-08,Model-05,Model-02,Model-04,Model-06,Model-09,Model-01,0.06320172322631212,0.9393939393939394,0.4999999999999999
epoch_37,Model-10,Model-08,Model-03,Model-05,Model-07,Model-02,Model-06,Model-04,Model-09,Model-01,0.054913074403627735,0.9636363636363636,0.9999999999999998
epoch_38,Model-03,Model-10,Model-08,Model-07,Model-02,Model-05,Model-06,Model-04,Model-09,Model-01,0.06244544861266817,0.9636363636363636,-0.4999999999999999
epoch_39,Model-03,Model-08,Model-10,Model-07,Model-02,Model-06,Model-05,Model-04,Model-09,Model-01,0.06133434239879716,0.9393939393939394,-0.9999999999999998
epoch_40,Model-10,Model-03,Model-08,Model-05,Model-02,Model-07,Model-06,Model-04,Model-09,Model-01,0.05855391761684708,0.9393939393939394,0.4999999999999999
epoch_41,Model-10,Model-03,Model-08,Model-07,Model-02,Model-06,Model-05,Model-04,Model-09,Model-01,0.06023389295816499,0.9757575757575757,0.4999999999999999
epoch_42,Model-10,Model-03,Model-08,Model-07,Model-02,Model-05,Model-06,Model-04,Model-09,Model-01,0.061634140189011914,0.9878787878787879,0.4999999999999999
epoch_43,Model-08,Model-03,Model-10,Model-07,Model-02,Model-06,Model-05,Model-04,Model-09,Model-01,0.06520538336768125,0.9515151515151515,-0.4999999999999999
epoch_44,Model-08,Model-10,Model-07,Model-03,Model-06,Model-02,Model-05,Model-04,Model-09,Model-01,0.05304825041846683,0.9393939393939394,0.4999999999999999
epoch_45,Model-08,Model-10,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,Model-09,Model-01,0.05842231871808569,0.9878787878787879,0.4999999999999999
epoch_46,Model-08,Model-07,Model-03,Model-10,Model-05,Model-02,Model-06,Model-04,Model-09,Model-01,0.055202391694144655,0.9030303030303031,-0.4999999999999999
epoch_47,Model-03,Model-08,Model-10,Model-07,Model-02,Model-05,Model-06,Model-04,Model-09,Model-01,0.05791353406107131,0.9515151515151515,-0.9999999999999998
epoch_48,Model-03,Model-10,Model-02,Model-07,Model-08,Model-06,Model-05,Model-04,Model-09,Model-01,0.06516823634086177,0.8787878787878788,-0.4999999999999999
epoch_49,Model-08,Model-10,Model-03,Model-02,Model-07,Model-05,Model-06,Model-04,Model-09,Model-01,0.05982670966365064,0.9757575757575757,0.4999999999999999
epoch_50,Model-08,Model-07,Model-10,Model-02,Model-05,Model-03,Model-06,Model-04,Model-09,Model-01,0.0579592256192894,0.8787878787878788,0.4999999999999999
epoch_51,Model-07,Model-08,Model-03,Model-02,Model-06,Model-09,Model-01,Model-10,Model-05,Model-04,0.0653990656681514,0.4303030303030303,-0.4999999999999999
epoch_52,Model-02,Model-03,Model-09,Model-01,Model-10,Model-08,Model-07,Model-05,Model-06,Model-04,0.0649263866879046,0.1393939393939394,-0.4999999999999999
epoch_53,Model-03,Model-02,Model-09,Model-01,Model-10,Model-08,Model-07,Model-05,Model-06,Model-04,0.07107923758650819,0.16363636363636364,-0.4999999999999999
epoch_54,Model-03,Model-02,Model-09,Model-01,Model-10,Model-08,Model-07,Model-05,Model-06,Model-04,0.06554950067994166,0.16363636363636364,-0.4999999999999999
epoch_55,Model-02,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-05,Model-06,Model-04,0.06665064297026645,0.01818181818181818,0.9999999999999998
epoch_56,Model-02,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-05,Model-06,Model-04,0.06868912106690307,0.01818181818181818,0.9999999999999998
epoch_57,Model-02,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-05,Model-06,Model-04,0.0673197504595543,0.01818181818181818,0.9999999999999998
epoch_58,Model-02,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-05,Model-06,Model-04,0.06657038230200608,0.01818181818181818,0.9999999999999998
epoch_59,Model-02,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-05,Model-06,Model-04,0.06757659760769456,0.01818181818181818,0.9999999999999998
epoch_60,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,0.1059599684861799,0.030303030303030304,0.9999999999999998
epoch_61,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,0.10542383864273627,0.030303030303030304,0.9999999999999998
epoch_62,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,0.10461221798757712,0.030303030303030304,0.9999999999999998
epoch_63,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,0.09995586703903973,0.030303030303030304,0.9999999999999998
