epoch,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10
epoch_1,Model-10|0.2212,Model-03|0.3729,Model-05|0.5121,Model-07|0.6087,Model-02|0.7061,Model-08|0.8975,Model-09|0.9388,Model-06|0.9748,Model-04|1.2659,Model-01|1.2905
epoch_2,Model-10|0.1392,Model-03|0.2289,Model-05|0.2740,Model-07|0.3281,Model-02|0.3684,Model-08|0.5021,Model-06|0.5639,Model-09|0.6052,Model-04|0.9260,Model-01|1.0342
epoch_3,Model-10|0.1172,Model-03|0.1659,Model-07|0.2458,Model-05|0.2589,Model-02|0.2879,Model-08|0.3047,Model-06|0.4214,Model-09|0.4248,Model-04|0.7296,Model-01|0.8593
epoch_4,Model-10|0.1314,Model-03|0.1463,Model-05|0.1896,Model-08|0.2150,Model-07|0.2222,Model-02|0.2461,Model-06|0.3347,Model-09|0.3507,Model-04|0.5631,Model-01|0.7241
epoch_5,Model-10|0.0970,Model-03|0.1238,Model-07|0.1538,Model-05|0.1731,Model-08|0.1969,Model-02|0.2031,Model-06|0.2658,Model-09|0.3176,Model-04|0.4468,Model-01|0.6641
epoch_6,Model-10|0.0824,Model-03|0.1246,Model-07|0.1409,Model-05|0.1612,Model-08|0.1634,Model-02|0.1813,Model-06|0.2392,Model-09|0.2787,Model-04|0.3855,Model-01|0.5002
epoch_7,Model-10|0.0838,Model-03|0.1142,Model-07|0.1407,Model-08|0.1460,Model-05|0.1558,Model-02|0.1680,Model-06|0.2015,Model-09|0.2559,Model-04|0.4584,Model-01|0.4599
epoch_8,Model-10|0.0810,Model-03|0.1061,Model-07|0.1149,Model-05|0.1293,Model-08|0.1550,Model-02|0.1776,Model-06|0.2063,Model-09|0.2412,Model-04|0.2830,Model-01|0.4009
epoch_9,Model-10|0.0767,Model-03|0.0920,Model-05|0.1194,Model-07|0.1214,Model-08|0.1317,Model-02|0.1473,Model-06|0.1749,Model-09|0.2266,Model-04|0.2739,Model-01|0.3871
epoch_10,Model-10|0.0659,Model-03|0.0813,Model-07|0.1111,Model-05|0.1274,Model-08|0.1456,Model-02|0.1482,Model-06|0.1625,Model-09|0.2297,Model-04|0.2649,Model-01|0.3359
epoch_11,Model-10|0.0619,Model-03|0.0880,Model-07|0.1021,Model-08|0.1104,Model-05|0.1226,Model-02|0.1319,Model-06|0.1612,Model-09|0.2104,Model-04|0.2288,Model-01|0.3342
epoch_12,Model-10|0.0692,Model-07|0.0934,Model-03|0.0976,Model-05|0.1192,Model-08|0.1192,Model-02|0.1312,Model-06|0.1442,Model-04|0.2008,Model-09|0.2015,Model-01|0.3357
epoch_13,Model-03|0.0732,Model-10|0.0740,Model-08|0.0997,Model-05|0.1065,Model-07|0.1089,Model-02|0.1277,Model-06|0.1358,Model-09|0.1914,Model-04|0.1952,Model-01|0.2860
epoch_14,Model-10|0.0626,Model-03|0.0787,Model-08|0.0983,Model-07|0.1001,Model-05|0.1137,Model-02|0.1195,Model-06|0.1268,Model-04|0.1896,Model-09|0.1958,Model-01|0.2740
epoch_15,Model-10|0.0567,Model-03|0.0905,Model-08|0.0944,Model-07|0.0950,Model-02|0.1143,Model-05|0.1170,Model-06|0.1298,Model-09|0.1973,Model-04|0.2041,Model-01|0.2661
epoch_16,Model-10|0.0640,Model-03|0.0700,Model-07|0.0829,Model-08|0.0836,Model-05|0.0958,Model-02|0.1069,Model-06|0.1158,Model-04|0.1549,Model-09|0.1719,Model-01|0.2452
epoch_17,Model-10|0.0565,Model-03|0.0699,Model-08|0.0816,Model-07|0.0877,Model-05|0.1046,Model-02|0.1055,Model-06|0.1216,Model-04|0.1592,Model-09|0.1629,Model-01|0.2500
epoch_18,Model-10|0.0589,Model-03|0.0697,Model-08|0.0839,Model-07|0.0848,Model-05|0.1037,Model-06|0.1157,Model-02|0.1158,Model-04|0.1463,Model-09|0.1674,Model-01|0.2582
